"1,""Molham Volunteering Team""",Molham Volunteering Team,,,,
"2,""Online donation is unavailable on the website for 48 hours due to a temporary technical issue!""",Aufgrund von vorübergehenden technischen Problemen sind Spenden über die Website für die nächsten 48 Stunden nicht möglich.,,,,
"3,Home",Start,,,,
"4,""About us""",Über uns,,,,
"5,""About Molham""",Über Molham,,,,
"6,""About Our Team""",Über unser Team,,,,
"7,""Our Projects""",Unsere Projekte,,,,
"8,""Team's Volunteers""",Unsere Freiwilligen,,,,
"9,""How to Donate ?""",Wie kann ich spenden,,,,
"10,""Transparency File""",Transparenzliste,,,,
"11,""Contact us""",Kontakt,,,,
"12,Login",Login,,,,
"13,""New Donor""",Neuer Spender,,,,
"14,""Your Donations""",Deine Spenden,,,,
"15,Profile",Profil,,,,
"16,Logout",Logout,,,,
"17,Welcome",Willkommen,,,,
"18,""Inspire your Humanity""",Inspiriere deine Menschlichkeit,,,,
"19,""To be inspirational is to sow your seeds in the sky. To weave a pain-soothing dress out of laughter. To erase hardships with hope. To create an invincible bridge out of optimism. To be inspiring is... To build a glorious future for people whose pasts were stolen. To construct a road full of knowledge to strengthen the weak. To liberate those accustomed to captivity.""","Inspirierend zu sein bedeutet, deine Saat in den Himmel auszusäen. Aus Lachen ein schmerzlinderndes Gewand zu weben. Mit Hoffnung die Nöte zu beseitigen. Aus Zuversicht eine unerschütterliche Brücke zu erschaffen. Inspirierend zu sein bedeutet, eine wunderbare Zukunft für die zu bauen, deren Vergangenheit gestohlen wurde. Einen Weg der Erkenntnis zu errichten, um die Schwachen zu stärken. Diejenigen zu befreien, die an die Gefangenschaft gewöhnt sind.",,,,
"20,Cases",Fälle,,,,
"21,""The Team seeks to secure relief for medical conditions, to prioritize support according to medical need and urgency, and to follow up on treatments until full recovery.""","Unser Team ist bestrebt, Hilfe bei Krankheitszuständen zu sichern. Die Auswahl der jeweiligen Fälle erfolgt nach medizinischer Dringlichkeit und Notwendigkeit. Außerdem wird sichergestellt, dass die Behandlung bis zur vollständigen Genesung fortgesetzt werden kann.",,,,
"22,Campaigns",Kampagnen,,,,
"23,""The Team launches emergency campaigns to address the needs of civilians in distressed areas subject to bombings, displacement, or harsh weather conditions.""","Unser Team richtete Notfall-Kampagnen ein, um auf die Bedürfnisse der Menschen zu reagieren, die unter Bombardierungen, Vertreibung oder extremen Wetterbedingungen leiden.",,,,
"24,""Search Options""",Suchoptionen,,,,
"25,All",Alles,,,,
"26,Medical",Medizinisch,,,,
"27,Rent",Miete,,,,
"28,Expense",Kosten,,,,
"29,Funded",Finanziert,,,,
"30,""Not funded""",Nicht finanziert,,,,
"31,Amount",Betrag,,,,
"32,Left",Fehlend,,,,
"33,Donate",Spenden,,,,
"34,""Show more""",Zeige mehr,,,,
"35,""Required Amount""",Notwendiger Betrag,,,,
"36,Paid",Bezahlt,,,,
"37,""Number of Donors""",Anzahl der Spender,,,,
"38,""How can we help you ?""",Wie können wir dir helfen?,,,,
"39,Sponsorships",Patenschaften,,,,
"40,""The Team secures psychological and financial support for orphans in general and displaced orphans in particular, and regards them as a nucleus of hope for the future of Syria and Arab countries.""","Das Team sichert psychologische sowie finanzielle Unterstützung für Waisen, insbesondere für geflüchtete Waisen, und wertschätzt sie als Keim der Hoffnung für die Zukunft Syriens und der arabischen Staaten.",,,,
"41,Education",Bildung,,,,
"42,""Education is considered essential in the process of raising and building a strong society. Our team works every year to provide Syrian refugees with quality education which is one of their simplest rights. We work on funding both school and university students until the moment they can rely on themselves.""","Bildung ist wesentlich um eine starke Gesellschaft heranzuziehen und aufzubauen. Unser Team arbeitet jedes Jahr daran, syrische Flüchtlinge mit qualitativer Bildung zu versorgen, denn es ist eines ihrer einfachsten Rechte. Wir arbeiten daran, sowohl Schüler als auch Universitätsstudenten zu finanzieren, solange bis sie auf eigenen Beinen stehen.",,,,
"43,""No Results !!""",Keine Ergebnisse!!,,,,
"44,""No results according to the options that you selected""",Keine Ergebnisse für die ausgewählten Optionen,,,,
"45,""Not Funded""",Nicht finanziert,,,,
"46,Dollar",Dollar,,,,
"47,Ongoing",Laufend,,,,
"48,Finished",Beendet,,,,
"49,""Started on""",Gestartet am,,,,
"50,""Finished on""",Beendet am,,,,
"51,Email",E-Mail,,,,
"52,""Turkey Office""",Büro Türkei,,,,
"53,""Jordan Office""",Büro Jordanien,,,,
"54,Facebook",Facebook,,,,
"55,Twitter",Twitter,,,,
"56,Youtube",Youtube,,,,
"57,Instagram",Instagram,,,,
"58,""Login to Your Account""",Einloggen zu deinem Account,,,,
"59,Login",Login,,,,
"60,Email",E-Mail-Adresse,,,,
"61,""Your Email""",Deine E-Mail-Adresse,,,,
"62,Password",Passwort,,,,
"63,""Your Password""",Dein Passwort,,,,
"64,""Forgot your password ??""",Passwort vergessen?,,,,
"65,""Create a New Account""",Neues Passwort erstellen,,,,
"66,Name",Name,,,,
"67,""Your real or nick Name""",Dein Name oder Nickname,,,,
"68,""Confirm Password""",Passwort bestätigen,,,,
"69,Signup",Registrierung,,,,
"70,""Username or Password that you entered are not correct !!""",Benutzername oder Passwort nicht korrekt.,,,,
"71,""Please complete all the fields !!""",Bitte fülle alle Felder aus.,,,,
"72,""the email that you entered is already registerd !!""",Die angegebene E-Mail Adresse ist bereits registriert.,,,,
"73,""Insert a correct email !!""",Bitte gib eine korrekte E-Mail Adresse ein,,,,
"74,""Password length must be between 5-20 letters""",Das Passwort muss aus 5-20 Zeichen bestehen.,,,,
"75,""Password and its confirm are not the same !!""",Passwort und Passwortbestätigung stimmen nicht überein.,,,,
"76,""Reset Password""",Passwort zurücksetzen,,,,
"77,""Input your email of your accout to reset a new password and sending it to you""","Bitte gib die E-Mail-Adresse deines Accounts ein, um das Passwort zurückzusetzen und ein neues per Mail zu erhalten.",,,,
"78,""Receipt Voucher""",Empfangsbescheinigung,,,,
"79,""Donor Name""",Spendername,,,,
"80,""Donation Amount""",Spendenbetrag,,,,
"81,""Receipt ID""",Beleg ID,,,,
"82,""Donation Method""",Spendenmethode,,,,
"83,Purpose",Spendenzweck,,,,
"84,""Donation Date""",Datum der Spende,,,,
"85,""Delivering by hand""",Persönlich übergeben,,,,
"86,""Bank transfer""",Banküberweisung,,,,
"87,""Electronic payment""",Elektronische Zahlung,,,,
"88,""General Fund""",Allgemeiner Fonds,,,,
"89,""General Fund of Cases""",Allgemeiner Fonds für Fälle,,,,
"90,""General Fund of Campaigns""",Allgemeiner Fonds für Kampagnen,,,,
"91,""General Fund of Sponsorships""",Allgemeiner Fonds für Patenschaften,,,,
"92,""General Fund of Students""",Allgemeiner Fonds für Studenten,,,,
"93,Case",Fall,,,,
"94,Campaign",Kampagne,,,,
"95,Sponsorship",Patenschaft,,,,
"96,Student",Student,,,,
"97,""If you do not receive a receipt for your donation, or if you cannot find your donation in the Transparency File please contact us at info@molhamteam.com""","Falls du keinen Spendenbeleg erhältst oder du deine Spende nicht in der Transparenzliste findest, dann kontaktiere uns bitte per Mail unter info@molhamteam.com.",,,,
"98,Received",Erhalten,,,,
"99,Spent",Gespendet,,,,
"100,Name",Name,,,,
"101,Amount",Betrag,,,,
"102,""Donations Total""",Gesamtspenden,,,,
"103,Total",Gesamt,,,,
"104,""Spend Date""",Datum der Spende,,,,
"105,""My Donations""",Meine Spenden,,,,
"106,""Donations Total""",Gesamtspenden,,,,
"107,""Show Receipt""",Zeige den Beleg,,,,
"108,""No Donations for now !!""",Bisher noch keine Spenden,,,,
"109,""Edit Your Account""",Account bearbeiten,,,,
"110,""Your New Password""",Dein neues Passwort,,,,
"111,""Confirm Your New Password""",Bestätige dein neues Passwort,,,,
"112,""Change Password""",Passwort ändern,,,,
"113,""Successfully changed !!""",Erfolgreich geändert,,,,
"114,""We do not have any account which has this email !! Please insert a correct email !!""",Es existiert kein Account mit dieser E-Mail-Adresse. Bitte gib eine korrekte E-Mail-Adresse an.,,,,
"115,""A new password has sent to your email !!""",Es wurde ein neues Passwort an deine E-Mail-Adresse gesendet.,,,,
"116,""Your Donations""",Deine Spenden,,,,
"117,""Your account's password on Our website has been changed !!""",Das Passwort deines Accounts wurde auf unserer Website geändert.,,,,
"118,""The amount that you entered is more than the left amount of this case to be funded""","Der Betrag, den du eingegeben hast, übersteigt den fehlenden Betrag dieses Falls.",,,,
"119,""Thanks again for your last donation for the case number""",Nochmals vielen Dank für deine letzte Spende für den Fall Nummer,,,,
"120,""The monthly requirements for this sponsorship cost""",Der monatliche Bedarf dieser Patenschaft beträgt,,,,
"121,""If you want to be the permanent monthly breadwinner for this sponsorship or to give you further information about it please send us on Email sponsorships""","Wenn du ein dauerhafter Versorger für diese Patenschaft sein möchtest oder um weitere Informationen zu erhalten, sende uns bitte eine E-Mail an",,,,
"122,""Contact us via WhatsApp""",Kontaktiere uns per WhatsApp,,,,
"123,Stock",Bestand,,,,
"124,""The amount that you entered is more than the left amount of this campaign to be funded""","Der Betrag, den du eingegeben hast, übersteigt den fehlenden Betrag dieser Kampagne.",,,,
"125,Child",Kind,,,,
"126,""Medical Sponsorship""",Medizinische Patenschaft,,,,
"127,Family",Familie,,,,
"128,Fund",Fonds,,,,
"129,Funded",Finanziert,,,,
"130,""Not Funded""",Nicht finanziert,,,,
"131,""Monthly sponsorship amount""",Monatlicher Patenschaftsbetrag,,,,
"132,""Sponsorship's Fund has""",Der Patenschaftsfonds beträgt,,,,
"133,""Permanently funded""",Dauerhaft finanziert,,,,
"134,""Funded Until""",Finanziert bis,,,,
"135,""1 Month""",1 Monat,,,,
"136,Months",Monate,,,,
"137,""Fully funded""",Vollständig finanziert,,,,
"138,Since",Seit,,,,
"139,Delivered",Zugestellt,,,,
"140,""University Students""",Universitätsstudenten,,,,
"141,""Fully Funded""",Vollständig finanziert,,,,
"142,""Funded for this semester""",Finanziert für dieses Semester,,,,
"143,""Required amount for this semester""",Benötigter Betrag für dieses Semester,,,,
"144,""Required amount for one semester""",Benötigter Betrag für ein Semester,,,,
"145,""Full Required Amount""",Benötigter Gesamtbetrag,,,,
"146,""Funded for this Semester""",Finanziert für dieses Semester,,,,
"147,""Not Funded""",Nicht finanziert,,,,
"148,Funded",Finanziert,,,,
"149,""Semesters Left""",Fehlende Semester,,,,
"150,""2 Semesters Left""",2 Semester fehlend,,,,
"151,""1 Semester Left""",1 Semester fehlend,,,,
"152,for",für,,,,
"153,""One Semester""",Ein Semester,,,,
"154,""2 Semesters""",zwei Semester,,,,
"155,Semesters",Semester,,,,
"156,""Fully funded""",Vollständig finanziert,,,,
"157,""Our bank account in Turkey""",Unsere Bankverbindung in der Tükei,,,,
"158,""After every money transfer, please send us a copy of the transfer process to the following E-mail address: info@molhamteam.com""",Bitte sende uns nach jedem Geldtransfer eine Kopie des Transferprozesses an folgende E-Mail-Adresse: info@molhamteam.com,,,,
"159,""Donate using Turkish Lira""",Bitte spende in Türkischen Lira,,,,
"160,""Donate using U.S. Dollar""",Bitte spende in US-Dollar,,,,
"161,""Donate using Euro""",Bitte spende in Euro,,,,
"162,""Our website""",Unsere Website,,,,
